Id,Make,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
7802,CHEVO,SPECIAL PURPOSE VEHICLE,2.0,4.0,AV,X,9.398496240601503,8.896797153024911,9.18,219
7803,TOYOTI,SUV - SMALL,,6.0,AS6,X,11.904761904761905,7.79903368304804,10.050251256281408,255
7804,NIRRAN,STATION WAGON - MID-SIZE,3.5,6.0,AV7,X,9.8,8.3,9.124087591240874,226
7805,JIPU,SUV - SMALL,2.4,,,X,12.1,,,241
7806,TOYOTI,COMPACT,1.5,4.0,AV,X,8.599117199391172,6.199628022318661,7.520793397231096,165
7807,FOLD,SUV - SMALL,2.0,4.0,AS6,X,,8.299752999294284,11.77,237
7808,TOYOTI,MID-SIZE,,4.0,AV,X,9.70058379120879,7.3,8.62,154
7809,RYUNDAI,FULL-SIZE,5.0,8.0,AS8,Z,27.292850241545896,12.2,20.506974716652135,387
7810,BMV,SUBCOMPACT,4.4,8.0,AS8,Z,17.301038062283737,12.498140276301807,15.14,312
7811,NIRRAN,COMPACT,1.6,4.0,AV,X,9.801561415683553,6.901311249137336,8.496176720475786,164
7812,RYUNDAI,MID-SIZE,2.0,4.0,A6,X,8.4,6.4997929130234695,7.547169811320755,181
7813,JIPU,SUV - SMALL,2.0,4.0,AV,X,9.9,7.8,9.0,225
7814,JIPU,SUV - SMALL,3.6,6.0,A8,X,16.402719665271967,14.705882352941178,15.625,290
7815,CHEVO,PICKUP TRUCK - SMALL,,4.0,A6,D,17.3,10.3,14.144271570014144,308
7816,LAND CRAWLER,SUV - SMALL,3.0,6.0,AS8,Z,18.90359168241966,8.899842470069313,14.403857930189837,281
7817,RYUNDAI,SUV - SMALL,2.0,4.0,AS6,X,12.29782324771441,9.800625,11.173184357541901,209
7818,BMV,SUV - STANDARD,4.4,8.0,AS8,Z,10.204081632653061,8.2,9.30232558139535,334
7819,JIPU,SUV - SMALL,1.3,4.0,A9,X,9.901191728005607,7.300279329608939,8.7,214
7820,BARUSU,COMPACT,2.0,4.0,M6,Z,10.504201680672269,7.0,8.925150078988942,235
7821,GONDA,FULL-SIZE,2.0,4.0,M6,X,7.599838449111471,7.1022727272727275,7.375483028720627,204
7822,FOLD,SUV - SMALL,2.5,4.0,AS6,X,12.9,12.706480304955527,12.810929705215418,227
7823,FOLKSWA,COMPACT,,4.0,M6,Z,12.406947890818858,9.000900090009,10.9,228
7824,GONDA,COMPACT,1.8,4.0,AV7,X,7.5,7.401924500370097,7.457121551081283,168
7825,DOGE,MID-SIZE,6.4,8.0,A8,Z,10.799586776859504,11.4,11.07,349
7826,FOLD,SUV - SMALL,2.0,,AS6,,12.804097311139566,10.0,11.54,225
7827,BMV,SUBCOMPACT,3.0,6.0,M6,Z,15.3,11.600862422997945,13.63,264
7828,NIRRAN,SUV - STANDARD,5.6,8.0,AS7,X,14.9,9.9,12.65,364
7829,BARUSU,MINICOMPACT,2.0,4.0,AS6,Z,10.1,7.6,8.976199555131872,215
7830,JIPU,SUV - SMALL,2.4,4.0,AV,X,12.804097311139566,9.0,11.090734197094621,246
7831,FOLD,MID-SIZE,2.0,4.0,AS6,X,15.7,10.504201680672269,13.356899488926746,234
7832,CHEVO,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,15.0,15.1,15.037593984962406,346
7833,GONDA,STATION WAGON - SMALL,1.8,4.0,AV7,X,10.400625920471281,7.9,9.28,187
7834,FOLD,SUV - STANDARD,3.3,6.0,AS10,X,15.2,9.7,12.72264631043257,228
7835,FOLD,COMPACT,1.0,3.0,AS6,X,8.2,5.9,7.164113619071773,161
7836,TOYOTI,MID-SIZE,1.8,4.0,AV,X,8.999076138897738,8.3,8.69,173
7837,MITSU,STATION WAGON - SMALL,2.0,4.0,AV6,X,7.9,7.598784194528875,7.764733369983507,189
7838,KIO,STATION WAGON - SMALL,1.6,,AS6,X,12.701483812949641,9.699587628865979,11.350737797956867,207
7839,FOLD,MID-SIZE,2.0,4.0,AS6,X,10.298661174047373,8.899842470069313,9.671669407894736,216
7840,GONDA,STATION WAGON - SMALL,1.5,4.0,M6,X,8.802816901408452,8.0,,180
7841,FOLD,FULL-SIZE,2.0,4.0,AS6,X,10.700000000000001,9.1,9.980039920159681,231
7842,LECUS,SUV - STANDARD,3.5,6.0,AV6,Z,7.6,8.100000000000001,7.83,198
7843,GONDA,FULL-SIZE,2.0,4.0,M6,X,11.3,7.699345335515548,9.68,210
7844,FOLKSWA,COMPACT,2.0,4.0,AM6,Z,7.501875468867217,,7.363770250368188,182
7845,NIRRAN,SUV - SMALL,3.5,6.0,AV,X,10.099398883641047,6.399660172179429,8.44,250
7846,CHEVO,SUV - STANDARD,5.3,8.0,A6,X,16.0,10.500669642857144,13.53,324
7847,JIPU,SUV - SMALL,2.4,4.0,A6,X,11.9,9.0,10.6,253
7848,FOLD,,1.0,3.0,,X,9.099181073703367,6.1012812690665035,7.749821673525377,154
7849,LECUS,MID-SIZE,5.0,8.0,AV8,Z,14.1,,11.445745542949757,272
7850,CHEVO,SUBCOMPACT,3.6,6.0,M6,X,12.898675799086758,11.8,12.406947890818858,268
7851,CADILUXE,MID-SIZE,2.0,4.0,AS8,Z,11.6,8.7,10.298661174047373,229
7852,RYUNDAI,MID-SIZE,2.0,4.0,AM6,X,11.1,7.800000000000001,9.61631234668847,179
7853,JIPU,SUV - SMALL,2.4,4.0,A6,X,12.7,8.196721311475411,10.675774754346183,234
7854,CHEVO,SUV - SMALL,,4.0,A9,X,,8.503401360544219,10.43,219
7855,CHEVO,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,16.1,12.4,14.44,245
7856,JIPU,SUV - SMALL,2.0,4.0,A8,X,15.3,9.4,12.64,284
7857,FOLD,,2.5,4.0,AS6,X,11.1,8.2,9.79431929480901,237
7858,RYUNDAI,FULL-SIZE,2.0,4.0,A6,X,15.0,8.5,12.1,227
7859,RYUNDAI,SUV - SMALL,2.0,4.0,AS6,X,14.697242455775235,11.904761904761905,13.4,274
7860,FOLD,FULL-SIZE,3.5,6.0,AS6,X,11.2,8.2,9.85,250
7861,BMV,SUBCOMPACT,3.0,6.0,AM7,Z,18.3,,14.61,349
7862,CHEVO,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,17.98561151079137,11.802057200200704,15.21,276
7863,CHEVO,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,14.102895656515226,8.598452278589853,11.627039050914483,300
7864,CHEVO,PICKUP TRUCK - STANDARD,6.2,8.0,A6,Z,21.598272138228943,15.796843519140362,19.0,350
7865,GONDA,SUV - SMALL,1.8,4.0,AV7,X,9.4,6.5,8.094011461318052,160
7866,CHEVO,PICKUP TRUCK - STANDARD,4.3,6.0,A6,E,14.4,13.799755740107475,14.124293785310734,310
7867,GONDA,SUV - SMALL,1.5,4.0,AV,X,11.0,6.3,8.88,173
7868,CHEVO,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,15.5,8.802816901408452,12.482589482987185,351
7869,LECUS,MID-SIZE,3.4,6.0,AS10,Z,12.7,10.3,11.6,232
7870,GONDA,TWO-SEATER,1.5,4.0,AV7,X,4.199916001679966,6.3,5.144685039370079,128
7871,TOYOTI,MID-SIZE,2.5,,AV,X,9.401079136690647,7.3,8.4530853761623,177
7872,JIPU,SUV - SMALL,2.4,4.0,M6,X,10.2,7.79903368304804,9.1,206
7873,CHEVO,SUV - STANDARD,5.3,,A6,X,17.9,11.5,15.02,347
7874,CADILUXE,COMPACT,,4.0,AS8,Z,15.4,12.2,,226
7875,LAND CRAWLER,SUV - STANDARD,5.0,8.0,AS8,Z,13.60544217687075,9.9,,293
7876,GONDA,SUV - SMALL,2.4,4.0,AV,X,11.501955990220049,7.800000000000001,9.84,189
7877,CHEVO,PICKUP TRUCK - STANDARD,5.3,8.0,A6,,15.4,10.4,13.15,353
7878,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,11.098779134295228,7.698229407236336,9.57,238
7879,TOYOTI,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,18.6,10.8,15.1,372
7880,CHEVO,SUV - SMALL,1.4,4.0,M6,X,11.0,7.598784194528875,9.469696969696969,181
7881,CHEVO,SUV - STANDARD,5.3,8.0,A6,,18.3,10.799136069114471,14.93,323
7882,LECUS,MID-SIZE,,8.0,AS8,Z,17.5,12.594458438287154,15.293563068920676,318
7883,NIRRAN,MID-SIZE,1.6,4.0,M5,X,10.298661174047373,6.6,8.63,174
7884,FOLD,FULL-SIZE,3.5,6.0,AS6,X,11.3,9.3,10.398541114058355,232
7885,JIPU,SUV - SMALL,2.4,,M5,,10.4,8.500722804481388,9.5,221
7886,MATSUDA,MID-SIZE,2.5,4.0,AS6,X,10.695187165775401,,9.62,189
7887,MATSUDA,SUV - SMALL,2.5,4.0,AS6,X,11.5,9.398496240601503,10.556091180866964,211
7888,LECUS,SUBCOMPACT,3.5,,AS6,Z,10.298661174047373,8.500722804481388,9.5,261
7889,FOLD,COMPACT,2.0,4.0,AM6,X,4.199916001679966,7.09975852701479,5.5,179
7890,ASURA,TWO-SEATER,,6.0,AM9,Z,16.2,,14.662756598240469,282
7891,KIO,MID-SIZE,1.8,4.0,A6,X,9.699321047526672,6.400408163265306,8.216926869350862,197
7892,CADILUXE,MID-SIZE,3.0,6.0,AS10,Z,17.1,10.8,14.299999999999999,285
7893,DOGE,SUV - STANDARD,3.6,6.0,A8,X,14.9,11.401599612215222,13.3,270
7894,CHEVO,,1.8,4.0,M5,X,9.801561415683553,7.299270072992701,8.673026886383349,182
7895,NIRRAN,PICKUP TRUCK - SMALL,4.0,6.0,A5,X,14.298784194528876,9.7,12.224938875305623,347
7896,FOLD,PICKUP TRUCK - STANDARD,2.7,6.0,AS10,X,13.003901170351105,9.199632014719413,11.29,260
7897,BMV,SUV - SMALL,3.0,,AS8,Z,12.903225806451612,9.301317089232795,11.273957158962798,241
7898,GONDA,MID-SIZE,1.5,4.0,,Z,5.2,5.800616522811344,5.4701975213013165,148
7899,NIRRAN,,2.5,4.0,AV,X,,13.600000000000001,15.03358169238957,209
7900,LECUS,MID-SIZE,4.6,8.0,AS8,Z,13.3,11.806375442739078,12.627670987930262,348
7901,FIAR,MINICOMPACT,1.4,4.0,A6,X,8.100975050186408,9.0,8.505901836796145,209
7902,KIO,SUV - SMALL,2.0,4.0,AS6,X,14.5,8.099690082644628,11.62,248
7903,BMV,FULL-SIZE,2.0,4.0,AS8,Z,10.0,8.1,9.145217729393469,202
7904,GONDA,FULL-SIZE,1.5,4.0,AV,X,9.5,7.8,8.733624454148472,159
7905,GONDA,STATION WAGON - SMALL,1.5,4.0,AV7,X,10.2,7.4,8.9,176
7906,MITSU,SUV - SMALL,2.0,4.0,AV6,X,15.5,10.799136069114471,13.4,212
7907,MITSU,COMPACT,2.4,4.0,M5,X,10.5,6.8,8.84,216
7908,FOLKSWA,COMPACT,2.0,4.0,M6,D,8.802816901408452,,7.987220447284345,184
7909,GONDA,,1.8,4.0,AV7,X,9.501547258661285,8.000028320589067,8.8261253309797,160
7910,NIRRAN,PICKUP TRUCK - SMALL,4.0,6.0,A5,X,15.3,10.7,13.229190101237345,349
7911,BMV,SUBCOMPACT,2.0,4.0,AS8,Z,11.701781275890637,8.8,10.4,210
7912,KIO,SUV - SMALL,,6.0,A6,X,11.4,7.7,9.737098344693282,280
7913,BMV,SUV - STANDARD,4.4,8.0,A8,Z,17.4,14.40922190201729,16.05,330
7914,FOLD,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,17.8,16.99645006016847,17.44,345
7915,JIPU,SUV - SMALL,1.4,4.0,M6,X,10.4,6.09978406391708,8.46,215
7916,RYUNDAI,SUV - STANDARD,3.8,6.0,AS8,,14.101618705035971,8.8,11.71,257
7917,BARUSU,SUV - SMALL,2.0,4.0,AV6,X,9.9,9.10054768041237,9.54,196
7918,MATSUDA,TWO-SEATER,2.0,4.0,AS6,Z,10.4,9.70058379120879,10.09,198
7919,MITSU,SUV - SMALL,2.0,4.0,AV6,X,10.3,7.79903368304804,9.174311926605505,202
7920,MATSUDA,COMPACT,2.0,4.0,AS6,X,8.196721311475411,7.300279329608939,,178
7921,MATSUDA,MID-SIZE,2.5,4.0,M6,X,,6.599747474747475,7.204610951008645,192
7922,TOYOTI,MID-SIZE,3.5,6.0,AS8,X,11.5,9.7,10.691937925813777,209
7923,NIRRAN,SUV - SMALL,3.5,6.0,AV,X,12.7,7.4,10.319917440660475,233
7924,JIPU,SUV - SMALL,2.4,4.0,M5,X,11.1,8.403361344537815,9.881422924901187,216
7925,LECUS,SUBCOMPACT,3.5,6.0,AS6,Z,,11.402508551881414,12.72,289
7926,DOGE,FULL-SIZE,,8.0,A8,X,13.7,11.001100110011,12.482589482987185,296
7927,JIPU,SUV - SMALL,2.4,4.0,A9,X,9.999327433628318,7.5,8.874677976751492,223
7928,TOLVO,SUV - STANDARD,2.0,4.0,AS8,Z,10.604453870625663,9.400366056572379,10.06,256
7929,LAND CRAWLER,SUV - STANDARD,,8.0,AS8,Z,15.203498385360604,10.5,13.09,331
7930,CADILUXE,COMPACT,2.0,4.0,M6,Z,,,9.66,235
7931,RYUNDAI,COMPACT,1.6,4.0,AM6,X,7.9,8.503401360544219,8.169934640522875,172
7932,MATSUDA,TWO-SEATER,2.0,4.0,M6,Z,15.1,9.300711743772242,12.5,193
7933,FOLD,MID-SIZE,2.5,4.0,A6,X,11.799999999999999,8.896797153024911,10.493179433368311,229
7934,CHEVO,SUV - STANDARD,5.3,8.0,A6,E,12.6,8.899842470069313,10.94,293
7935,KIO,STATION WAGON - MID-SIZE,2.0,4.0,AS6,X,10.4,7.800312012480499,9.231405228758168,213
7936,DOGE,MID-SIZE,6.4,8.0,A8,Z,16.001020408163267,11.799999999999999,14.104372355430185,352
7937,CHEVO,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,19.68503937007874,11.39955609362389,15.968400226116449,401
7938,CHEVO,SUV - SMALL,2.0,,A9,X,13.600433317284544,8.199738751814223,11.17,239
7939,KIO,COMPACT,,4.0,AS6,X,10.798203363914373,8.29875518672199,9.671179883945841,204
7940,TOYOTI,MID-SIZE,3.5,6.0,AS6,X,11.198208286674133,7.200637267397401,9.399999999999999,228
7941,NIRRAN,SUBCOMPACT,3.8,6.0,AM6,Z,12.3,10.200130095403296,11.36,313
7942,FOLD,FULL-SIZE,3.5,6.0,AS6,X,17.006802721088437,9.201335504885993,13.49527665317139,287
7943,TOYOTI,PICKUP TRUCK - SMALL,2.7,4.0,AS6,X,11.2,10.204081632653061,10.750228519195613,272
7944,KIO,COMPACT,1.6,4.0,M6,X,,10.799586776859504,12.12,205
7945,DOGE,MID-SIZE,2.0,4.0,M6,X,11.9,10.70003787878788,11.363636363636363,194
7946,BMV,SUBCOMPACT,2.0,4.0,AS8,Z,11.897572078907436,8.2,10.235639686684072,188
7947,TOYOTI,COMPACT,1.5,4.0,A4,X,8.299752999294284,7.0,7.71,175
7948,FOLD,FULL-SIZE,3.5,6.0,AS6,E,15.3,10.099398883641047,12.957844036697248,246
7949,LECUS,COMPACT,2.0,4.0,AV6,X,9.900990099009901,7.599704062415927,8.87,176
7950,BMV,FULL-SIZE,4.4,8.0,AS8,Z,17.60006230529595,9.900990099009901,14.144271570014144,288
7951,BARUSU,MINICOMPACT,2.0,4.0,M6,Z,9.8,9.398496240601503,9.62,237
7952,CHEVO,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,15.4,14.600558659217878,15.041586794462193,302
7953,DOGE,MID-SIZE,6.4,8.0,A8,Z,15.2,8.2,12.1,343
7954,LAND CRAWLER,SUV - SMALL,2.0,4.0,AS9,Z,9.199632014719413,8.29875518672199,8.795074758135446,241
7955,BMV,COMPACT,3.0,6.0,M6,Z,14.3,8.0,11.467889908256879,259
7956,CHEVO,VAN - PASSENGER,5.3,8.0,A4,E,16.2,,13.54,369
7957,BMV,COMPACT,3.0,6.0,AM7,Z,17.6,10.099398883641047,14.22361530715005,311
7958,TOLVO,COMPACT,3.0,,AS6,X,11.4,9.1,10.37,244
7959,NIRRAN,SUV - SMALL,3.5,6.0,AV,X,9.2,11.49425287356322,10.235639686684072,250
7960,FOLD,PICKUP TRUCK - STANDARD,3.5,6.0,A6,X,15.7,11.6,13.853898970083373,282
7961,CADILUXE,MID-SIZE,2.0,,AS8,Z,8.8,8.899545970488083,8.85,226
7962,MATSUDA,TWO-SEATER,2.0,4.0,AS6,Z,10.7,7.798905835543767,9.393570287539937,185
7963,LECUS,COMPACT,3.5,6.0,AS6,Z,16.7,10.1010101010101,13.73,259
7964,KIO,,2.0,4.0,AS6,X,13.002487562189055,9.200000000000001,11.29,248
7965,BMV,COMPACT,3.0,6.0,M6,Z,10.29838003502627,6.4,8.54449485783424,239
7966,CHEVO,PICKUP TRUCK - STANDARD,,,A6,X,15.9,10.600000000000001,13.5,416
7967,MITSU,COMPACT,1.2,3.0,M5,X,11.5,6.0,9.02590176515733,130
7968,FOLD,PICKUP TRUCK - STANDARD,2.7,6.0,AS6,X,16.89189189189189,8.998278500382556,13.35,292
7969,KIO,FULL-SIZE,2.0,4.0,AS6,X,9.70058379120879,8.300940346752865,,220
7970,LECUS,MID-SIZE,3.5,6.0,AS6,X,9.4,8.196721311475411,8.857395925597874,223
7971,KIO,SUV - SMALL,2.4,4.0,AS6,,12.594458438287154,10.00063775510204,11.429300291545191,244
7972,CHEVO,PICKUP TRUCK - STANDARD,,8.0,A6,,19.083969465648853,12.804097311139566,16.27,317
7973,LECUS,MID-SIZE,2.5,4.0,AV6,X,10.500669642857144,7.3,9.06,163
7974,GONDA,FULL-SIZE,1.5,4.0,M6,Z,10.905125408942203,7.000446428571428,9.14,156
7975,RYUNDAI,MID-SIZE,2.0,4.0,AS6,X,7.199724517906335,8.299999999999999,7.7,190
7976,GONDA,COMPACT,2.0,4.0,AV7,X,7.6,8.1,7.82472613458529,177
7977,CHEVO,PICKUP TRUCK - STANDARD,6.2,8.0,A10,Z,23.094688221709006,12.106537530266344,18.149305555555554,380
7978,BMV,COMPACT,2.0,4.0,AS8,D,9.3,6.30119722747322,7.95,193
7979,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.8,10.2,11.6,251
7980,CHEVO,VAN - PASSENGER,6.0,8.0,A6,E,16.4,19.40116758241758,17.75,357
7981,CHEVO,VAN - PASSENGER,6.0,8.0,A6,,16.5,10.7,13.89,369
7982,KIO,MID-SIZE,2.0,4.0,M6,X,8.698779585798817,8.0,8.382229673093043,186
7983,RYUNDAI,FULL-SIZE,2.0,4.0,AS6,X,10.70003787878788,11.297550432276656,10.97,208
7984,BMV,SUBCOMPACT,2.0,4.0,AS8,Z,12.0,9.2,10.740722433460075,215
7985,TOLVO,SUV - SMALL,2.0,4.0,,Z,14.598540145985401,11.001100110011,12.981663602941175,256
7986,FOLD,SUBCOMPACT,5.8,8.0,M6,Z,16.9,11.5,14.465867158671585,347
7987,MATSUDA,MID-SIZE,2.5,4.0,AS6,,10.099398883641047,8.3,9.29368029739777,212
7988,JIPU,SUV - STANDARD,3.6,6.0,A8,X,11.5,11.2,11.36304347826087,290
7989,FOLD,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,18.5,19.5,18.939393939393938,321
7990,ASURA,COMPACT,2.4,4.0,AM8,Z,9.6,6.4,8.16,192
7991,FOLKSWA,COMPACT,1.4,4.0,AM7,Z,7.5,8.196721311475411,7.814135546334716,169
7992,FOLD,PICKUP TRUCK - STANDARD,2.7,6.0,AS6,X,15.1,8.802816901408452,12.3,257
7993,BARUSU,SUV - SMALL,2.0,4.0,M6,X,10.799136069114471,11.299435028248588,11.0,216
7994,KIO,MID-SIZE,1.8,4.0,,X,8.2,7.299250645994832,7.800000000000001,199
7995,TOLVO,MID-SIZE,2.0,4.0,AS8,Z,,8.3,10.600000000000001,227
7996,NIRRAN,MID-SIZE,1.8,4.0,,X,9.9,5.699999999999999,8.01,173
7997,RYUNDAI,COMPACT,1.6,,M6,X,9.1,8.403361344537815,8.787346221441124,202
7998,BMV,COMPACT,3.0,6.0,M6,Z,14.102895656515226,8.0,11.36,286
7999,JIPU,SUV - STANDARD,6.4,8.0,A8,Z,10.9,10.504201680672269,10.720829535095715,359
8000,CHEVO,,3.6,6.0,A8,X,16.001020408163267,10.29838003502627,13.432287208749404,299
8001,FOLKSWA,MID-SIZE,2.0,4.0,AM6,D,9.596928982725528,6.997900629811057,8.429752312742465,199
8002,NIRRAN,MID-SIZE,1.6,,AV,X,8.2,6.7,7.5,167
8003,MATSUDA,TWO-SEATER,2.0,,AS6,Z,8.800031152647975,8.703220191470844,8.8,194
8004,JIPU,SUV - SMALL,2.4,4.0,M6,X,11.001100110011,7.501875468867217,9.43,218
8005,MATSUDA,MID-SIZE,2.0,4.0,AS6,X,9.5,7.3,8.51063829787234,178
8006,BMV,SUV - SMALL,2.0,4.0,AS8,Z,13.192612137203167,,12.886906934306568,243
8007,GONDA,SUV - SMALL,3.5,6.0,A6,X,11.897572078907436,8.0,10.14658764367816,237
8008,GONDA,COMPACT,1.5,4.0,,Z,10.0,7.1022727272727275,8.7,176
8009,CADILUXE,SUV - SMALL,2.0,4.0,AS9,Z,11.200000000000001,7.000446428571428,,205
8010,CHEVO,PICKUP TRUCK - SMALL,3.6,6.0,A8,X,15.701935914552736,11.600862422997945,13.86,300
8011,CHEVO,SUBCOMPACT,2.0,4.0,AS8,Z,8.8,7.000446428571428,7.987220447284345,218
8012,DOGE,MID-SIZE,2.0,4.0,A6,X,10.0,7.401924500370097,8.8261253309797,189
8013,NIRRAN,TWO-SEATER,,6.0,AS7,Z,14.7,,12.9,269
8014,BMV,COMPACT,4.4,8.0,M6,Z,15.105740181268882,9.000900090009,12.356999125109361,343
8015,LECUS,MID-SIZE,2.5,,AV6,X,7.79903368304804,6.600660066006601,7.262164124909223,180
8016,TOLVO,,2.0,4.0,AS8,X,10.3,10.9,,212
8017,JIPU,SUV - SMALL,2.4,4.0,A9,X,9.398496240601503,6.2,8.0,223
8018,FOLKSWA,COMPACT,1.8,4.0,M5,X,8.4,7.1,7.814135546334716,190
8019,CHEVO,SUBCOMPACT,,4.0,,Z,9.8,10.0,9.89,217
8020,BMV,SUBCOMPACT,,6.0,AS8,Z,16.300115406809002,8.196721311475411,12.658227848101266,230
8021,ASURA,COMPACT,2.4,4.0,AS5,Z,12.804097311139566,7.6,10.460251046025103,207
8022,LECUS,SUV - SMALL,2.0,,AS6,Z,10.9,7.898894154818326,9.549939098660172,218
8023,BMV,COMPACT,,4.0,AS8,Z,11.1,8.9,10.11,209
8024,JIPU,SUV - SMALL,2.4,4.0,A9,X,12.300123001230011,9.3,10.95,220
8025,CHEVO,SUV - STANDARD,5.3,8.0,A6,E,19.69881450488145,14.399999999999999,17.3,335
8026,CHEVO,SUV - STANDARD,5.3,,A6,X,20.08032128514056,18.4,19.33477070499658,364
8027,JIPU,SUV - SMALL,1.4,4.0,M6,X,11.299435028248588,9.201335504885993,10.36,208
8028,NIRRAN,SUV - SMALL,3.5,6.0,AV,X,11.3,10.29838003502627,10.847964669738863,246
8029,BMV,SUBCOMPACT,2.0,4.0,AS8,Z,11.3,9.6,,212
8030,KIO,SUV - SMALL,2.4,4.0,AS6,X,13.297872340425533,9.7,11.68,242
8031,TOYOTI,SUV - SMALL,2.5,,AS6,X,14.202161890397184,8.999076138897738,11.899999999999999,223
8032,DOGE,SUV - SMALL,3.6,6.0,A6,X,16.0,10.905125408942203,13.71,297
8033,NIRRAN,,3.7,6.0,M6,Z,12.6,11.501669381107492,12.11,284
8034,TOYOTI,SUV - STANDARD,3.5,6.0,AV6,X,11.6,9.4,10.600000000000001,183
8035,FOLKSWA,MID-SIZE,2.0,4.0,M6,,10.7,6.800216658642272,8.94454382826476,184
8036,CADILUXE,MID-SIZE,2.0,4.0,AS10,Z,,9.0,12.411291739894551,227
8037,BMV,SUBCOMPACT,3.0,6.0,AS8,Z,12.195121951219512,9.2,10.84940036900369,222
8038,TOYOTI,COMPACT,,4.0,A4,X,9.7,6.9,8.4,155
8039,RYUNDAI,SUV - SMALL,2.0,4.0,AS6,X,12.799320344358858,6.901311249137336,10.14,212
8040,FOLD,COMPACT,2.0,4.0,AM6,E,9.3,7.500823154540627,8.488964346349746,175
8041,TOLVO,COMPACT,2.0,4.0,AS8,X,9.099181073703367,6.8998778700537375,8.110862068965517,227
8042,JIPU,SUV - STANDARD,6.2,8.0,A8,Z,25.791118421052634,16.1,21.432549317147192,367
8043,BARUSU,SUV - SMALL,2.5,4.0,M6,X,10.4,6.7,8.733624454148472,216
8044,CHEVO,SUV - STANDARD,6.2,8.0,A10,Z,13.69936954413191,10.8,12.39,408
8045,FOLD,VAN - PASSENGER,3.5,6.0,AS10,E,16.8,11.098779134295228,14.23,327
8046,BMV,SUV - STANDARD,4.4,8.0,AS8,Z,17.5,13.5,15.701935914552736,338
8047,GONDA,,3.5,,A5,X,10.204081632653061,6.1,8.35421888053467,281
8048,MITSU,COMPACT,2.4,4.0,AV6,X,11.9,6.499447361149489,,218
8049,BMV,SUBCOMPACT,3.0,6.0,M6,Z,,11.3,13.60698458574181,298
8050,TOLVO,SUV - STANDARD,2.0,4.0,AS8,Z,14.896453451551617,8.29875518672199,11.933174224343674,237
8051,TOLVO,STATION WAGON - SMALL,2.0,4.0,AS8,X,5.1,,5.37,189
8052,CHEVO,COMPACT,1.8,4.0,M5,X,8.998278500382556,6.5,7.88,186
8053,TOYOTI,MID-SIZE,2.5,4.0,AS6,X,7.599704062415927,6.899823995306541,7.29,185
8054,RYUNDAI,COMPACT,1.6,4.0,M6,X,11.100000000000001,8.2,9.8,176
8055,BMV,SUV - STANDARD,3.0,6.0,AS8,D,12.498140276301807,9.0,10.923472544470224,237
8056,FOLKSWA,SUBCOMPACT,2.0,4.0,M6,Z,11.001637043966324,10.4,,202
8057,BMV,SUBCOMPACT,2.0,,AS8,Z,8.998278500382556,7.200637267397401,8.189937325905293,206
8058,CHEVO,SUV - SMALL,2.4,4.0,A6,E,9.9,6.199628022318661,8.2,222
8059,MATSUDA,,2.0,4.0,M6,Z,9.70058379120879,7.5004783163265305,8.7,190
8060,LECUS,SUV - STANDARD,5.7,8.0,AS8,Z,15.8,11.0,13.64,360
8061,MATSUDA,MID-SIZE,2.5,4.0,AS6,X,,10.00063775510204,11.32,215
8062,LECUS,SUV - SMALL,2.0,4.0,AS6,,11.200714285714286,9.1,10.25339382940109,230
8063,BARUSU,SUV - SMALL,2.5,4.0,AV8,X,9.596928982725528,8.299999999999999,9.015523188961287,198
8064,FOLKSWA,COMPACT,2.0,4.0,M5,X,10.8,9.2,10.08,214
8065,RYUNDAI,FULL-SIZE,1.6,,AS8,X,4.200267857142857,6.1012812690665035,5.1,97
8066,RYUNDAI,SUV - SMALL,2.4,4.0,A6,X,11.0,9.1,10.14,234
8067,CHEVO,SUV - STANDARD,5.3,8.0,A6,X,20.0,11.0,15.95,339
8068,RYUNDAI,MID-SIZE,2.0,,AV,X,8.201359832635983,7.698229407236336,7.974481658692185,168
8069,FOLD,COMPACT,1.6,4.0,M6,X,10.395010395010395,6.6,8.688097306689835,184
8070,FOLD,FULL-SIZE,3.5,6.0,AS6,X,12.406947890818858,,11.72,275
8071,KIO,COMPACT,1.6,4.0,AV,X,10.5,8.0,9.372071227741332,179
8072,TOYOTI,MID-SIZE,1.8,4.0,M6,X,11.3,8.50078242551911,10.04,167
8073,NIRRAN,PICKUP TRUCK - STANDARD,5.6,8.0,A5,X,16.6,9.70058379120879,13.496464405160058,357
8074,MATSUDA,SUV - SMALL,2.5,4.0,AS6,X,8.9,7.5004783163265305,8.270569620253164,205
